"code","name_kor","name_eng","type"
"222980","한국맥널티","Mcnulty Korea Co., Ltd","KOSDAQ"
"331660","한국미라클피플사","KOREA MIRACLE PEOPLE COMPANY","KONEX"
"256840","한국비엔씨","BNC Korea Co, Ltd","KOSDAQ"
"004090","한국석유","KOREA PETROLEUM INDUSTRIES","KOSPI"
"025550","한국선재","HANKUK STEEL WIRE CO., LTD.","KOSDAQ"
"002200","한국수출포장","KoreaExportPackagingIndustrial","KOSPI"
"002960","한국쉘석유","HankookShellOil","KOSPI"
"017890","한국알콜","KoreaAlcoholIndustrial","KOSDAQ"
"000240","한국앤컴퍼니","HANKOOK & COMPANY","KOSPI"
"033270","유나이티드제약","Korea United Pharm. Inc.","KOSPI"
"080720","한국유니온제약","UNION KOREA PHARM CO.,Ltd","KOSDAQ"
"123890","한국자산신탁","KAIT","KOSPI"
"015760","한국전력","KoreaElectricPower","KOSPI"
"052690","한전기술","KEPCO Engineering & Construction","KOSPI"
"063570","한국전자금융","NICE Total Cash Management Co., Ltd","KOSDAQ"
"041460","한국전자인증","Korea Electronic Certification Authority Inc.","KOSDAQ"
